,Time,Speech,Communication Code,Common words,General Observation,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
160621,,,,,,
,0:23:14,Could we please just get a bag on him?,Before,,,
,0:23:18,I don’t think he needs any medication.,Before,,,
160116,,,,,,
70,,Do you want to start bolus?,Q,,,
73,,Are you happy with just normal saline?,Q,,,
74,,Yes.,RS,,,
75,,150?,Q,,,
76,,"No, 100.",RS,,,
,,,,,,
160511,,,,,,
192,,"Started that L R at 6 um, a bolus at 600 running 9 99",RP,,,
,,,,,,
160519,,,,,,
112,(0:18:02),"We’re working on access, we’ll do basic labs, the bolus.",RP,,,
174,(0:31:03),I put him on fluids though.,RP,,,
175,(0:31:08),He hasn’t had anything to eat or drink though.,RP,,,
,,,,,,
160524,,,,,,
109,(0:11:01),Guy I think we can forego an IV Bolus,RP,,,
196,(0:16:21 ),"So I think we have everything done, um it sounds more like a concussion, so I feel like I don't want to image him, I don't want any fluids. Um we're just gonna observe him, wait for his family",RP,,,
,,,,,,
160723,,,,,,
151,(0:20:20),What do you want from fluids?,Q,,,
280,(0:35:11),We're okay with antibiotics. We got morphines and we got fluid going,RP,,,
,,,,,,
160737,,,,,,
50,(0:09:35),How much was the normal saline bolus?,Q,,,
51,(0:09:37),"Uh one ten, based on the five point five weight. No allergies, immunization is up to date",RS,,,
,,,,,,
160746,,,,,,
193,(0:18:56),Ok if we give him a little fluid?,Q,,,
194,(0:18:58),Absolutly 1 liter.,RS,,,
195,(0:19:00),Give L R and S whatever.,DIR,,,
196,(0:19:03),Did you guys here that 1 liter L R?,Q/CL,,,
197,(0:19:04),Yes.,RS,,,
240,(0:23:08),Umm yeah [minimum of 1] ahh we probably don’t need any fluid cause he’s got a relatively decent blood pressure at this point so.,RP,,,
243,(0:23:19),No keep him off it? Or keep him on fluid.,Q,,,
244,(0:23:23),"Yeah, I just mean he doesn’t need more.",RS,,,
245,(0:23:25),No additional fluids yeah.,CNF,,,
246,(0:30:10),L R?,Q,,,
247,(0:30:11),1 liter yup.,RS,,,
,,,,,,
160814,,,,,,
207,(0:29:01),Want to give him atex fluids once we get the IV?,Q,,,
,,,,,,
160819,,,,,,
