,Time,Speech,Communication Code,Common words,General Observation,
,,,,Before - remove clothes,,
160764,,,,,,
,0:12:40,I’m going to cover you up ok?,After,,,
,0:24:25,Do you guys want to warm up the fluids See if that will help a little bit.,During,,,
,0:24:30,Through the hot lines. Just to help with his shivering.,during,,,
,,,,,,
160814,,,,,,
,0:22:38,[Come here for warm] blankets.,,,,
,,,,,,
,,,,,,
160116,,,,,,
105,,Can we get a blanket on him?,Q,,,
159,,"Get those pillows under there, blankets, anything",DIR,This was not done for the purpose of exposure control. But to provide back support to the patient after back exam,,
160,,"We good, we good, we good, we good.",RP,,,
161,,More warm sheets. Put them underneath.,DIR,,,
,,,,,,
160511,,,,,,
341,,Alright a warm one. Gonna put one on you because it’s warm,TP,,,
,,,,,,
160523,,,,,,
40,(0:03:41),Yea we just have to expose…,Is this a DIR,,,
,,,,,,
160524,,,,,,
112,(0:11:26),"Bron Can you cover him up with a blanket, please thank you",SM,,,
178,(0:15:07 ),"You want to move the bear hugger, it's all..",DIR,,,
,,,,,,
160602,,,,,,
49,(0:16:55),We are just going to slide your shorts down okay,TP,,,
,,,,,,
,,,,,,
160649,,,,,,
19,(0:02:13),We're gonna take your shoes off okay,TP,,,
27,(0:03:11),Okay exposure we got to take everything off,Is this a DIR,,,
37,(0:04:31),"Okay buddy we are gonna take off your underwear, okay",TP,,,
38,(0:04:34),We'll cover you up in a second,TP,,,
,,,,,,
160654,,,,,,
51,(0:03:56),Can we just get warm blankets?,Q,,,
60,(0:04:35),So the only thing we we need to do is complete exposure so we need to make sure we examine underneath that ahh drawers otherwise is everyone comfortable moving on to the secondary survey?,Q,,,
120,(0:09:25),Ok let's take a look at this leg I’m going to give you a blanket back.,?/TP,,,
,,,,,,
160723,,,,,,
18,(0:06:31),Can we get a warm blanket on her?,DIR,,,
20,(0:06:47),"Very good,let's uh uh cut off her garments, put a blanket on",DIR?,,,
240,(0:31:55),Alright blanket on,RP,,,
,,,,,,
160737,,,,,,
60,(0:10:48),"So make, we need to first remove all the clothes. We still need uh have secure the rest of the vitals and then if someone can get a warm blanket",DIR?,,,
,,,,,,
,,,,,,
160746,,,,,,
108,(0:10:42),I’m going to cover you up ok?,TP,,,
231,(0:22:27),Do you guys want to warm up the fluids See if that will help a little bit.,Q,,,
232,(0:22:30),Yeah sure.,RS,,,
233,(0:22:32),Through the hot lines.,RS,,,
234,(0:22:36),Just to help with his shivering.,RS,,,
,,,,,,
,,,,,,
160814,,,,,,
143,(0:22:19),[Come here for warm] blankets.,DIR?,,,
144,(0:57:26),Come on let’s give him a warm blanket.,DIR?,,,
,,,,,,
,,,,,,
161130,,,,,,
198,(0:22:49),"You can also put a blanket on him, as soon as he cools off in a bit. Okay",DIR,,,
,,,,,,
Time,Speech,,,,,
160746,,,,,,
0:12:40,I’m going to cover you up ok?,,,,,
,,,,,,
0:24:25,Do you guys want to warm up the fluids See if that will help a little bit.,during,00:24:20,00:36:00,IV bolus given-B,
0:24:30,Through the hot lines. Just to help with his shivering.,during,00:32:38,00:34:46,Temperature-EA,
,,,,,,
160814,,,,,,
0:22:38,[Come here for warm] blankets.,,,,,
,,,,,,
,,,,,,
,,,,,,
Key Words,,,,,,
warm',,,,,,
blankets',,,,,,
cover',,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Transcript/Line,Time,Speech,,,,
,,,,,,
161208,,,,,,
68,(0:09:01),He don't want his pants cut off guys.,,,,
69,(0:09:03),Ahh we can probably get his gear off without cutting it at least the lowers.,,,,
,,,,,,
78,(0:10:39),Ok now lets expose the patient before we do our secondary survey. ,,,,
81,(0:11:06),We're we're probably going to have to cut your shirt off.,,,,
,,,,,,
96,(0:12:17),Yeah go ahead and cut the shirt.,,,,
97,(0:12:22),Shirts can be replaced.,,,,
,,,,,,
,,,,,,
161211,,,,,,
129,(0:20:52),I'm gonna get some warm blankets,,,,
,,,,,,
,,,,,,
170107,,,,,,
199,(0:21:15),Okay guys let's get her fully expose. Let's get some blankets on her and you can start with the secondary survey,,,,
,,,,,,
,,,,,,
170122,,,,,,
47,0:02:42,"Let's get, let's get these off, and then.",,,,
48,0:02:45,Who's got the trauma shears? Can you- and cut the rest of these off so we can just check his proximal,,,,
49,0:02:50,I got them,,,,
,,,,,,
73,0:03:53,"Can we cut those pants open, cut those open, cut the pants open-we gotta check his, his uh groin and stuff. ",,,,
,,,,,,
,,,,,,
170447,,,,,,
35,0:14:27,"So before we move onto that let's get his shorts off, let's expose him.",,,,
,,,,,,
54,0:15:28,"So before you do that... finish the exposure, that's part of secondary",,,,
,,,,,,
,,,,,,
170445,,,,,,
53,0:07:22,Alright buddy we'll pull this gown off and we're gonna get you covered okay,,,,
,,,,,,
,,,,,,
170437,,,,,,
41,(00:08:17),I think we're gonna have to cut off her pants.,,,,
44,(00:08:26),Shears,,,,
45,(00:08:27),Can we get some warm co- warm blankets please?,,,,
46,(00:08:29),"Cut off her, we're gonna have to cut off her clothes. To take a look, especially with her foot the way it is",,,,
47,(00:08:35),"Sorry --, we're just gonna take this off",,,,
48,(00:08:36),Get some blankets,,,,
51,(00:08:53),Are we cutting this off?,,,,
52,(00:08:54),Yeah just cut em off,,,,
53,(00:09:05),"Alright --, just cutting off your clothes",,,,
,,,,,,
79,(00:10:06),Are you hurting or you cold?,,,,
,,,,,,
,,,,,,
170436,,,,,,
59,0:06:38,Where is the shears,,,,
60,0:06:42,"Oh shears, one sec",,,,
67,0:07:21,He's exposed,,,,
,,,,,,
,,,,,,
170435,,,,,,
19,0:04:16,Do you have trauma shears?,,,,
22,0:04:22,Trauma shears,,,,
23,0:04:23,Thank you,,,,
24,0:04:40,"You're alright, there you go",,,,
,,,,,,
53,0:07:09,Gotta take your pants off okay buddy we'll cover you up with a blanket in just a second,,,,
,,,,,,
71,0:08:00,Alright let's get the rest of his clothes off please,,,,
73,0:08:02,Can I get the cover sheets,,,,
,,,,,,
,,,,,,
170434,,,,,,
11,0:00:59,Taking all your shoes and stuff off okay?,,,,
,,,,,,
,,,,,,
170336,,,,,,
55,0:23:19,Get a blanket for him in there,,,,
,,,,,,
,,,,,,
170335,,,,,,
44,0:12:46,"We gotta remove his clothes right, or just look, we don't have to cut it just",,,,
45,0:12:48,Yup,,,,
46,0:12:51,Alright we're just gonna take a look here okay kiddo,,,,
,,,,,,
,,,,,,
170334,,,,,,
59,0:12:59,Do we have blankets for him so we can take,,,,
60,0:13:00,Yup that one right up,,,,
61,0:13:06,"Gonna get you covered, okay",,,,
,,,,,,
,,,,,,
170331,,,,,,
38,0:04:35,"Want me to cut his shirt off, you can have us take it off",,,,
39,0:04:37,"Uh does he have any, any pain anywhere, you can just take it off regardless",,,,
40,0:04:42,I'm gonna take your shirt off okay,,,,
41,0:04:44,"Um I could do it, -- could do it",,,,
,,,,,,
,,,,,,
170329,,,,,,
39,0:05:38,"Alright baby's exposed, uh can we move onto secondary survery?",,,,
,,,,,,
,,,,,,
170327,,,,,,
30,0:10:38,Yea this is the trauma shear.,,,,
32,0:10:50,Can we have a blanket please,,,,
,,,,,,
63,0:16:25,You can put a blanket,,,,
,,,,,,
,,,,,,
170228,,,,,,
57,0:12:37,"You're hot, okay, well then I'll make sure it's not too warm",,,,
58,0:12:43,"We have to get the clothes off so we can just check you okay, but we'll cover you up okay",,,,
,,,,,,
102,0:14:47,"Nope nope, no ice",,,,
,,,,,,
,,,,,,
170223,,,,,,
52,0:09:22,"There you go, get you warm",,,,
,,,,,,
68,0:10:04,"Hey we're just gonna take the shirt off okay, just to make sure you don't have any injuries we don't see",,,,
69,0:10:16,"Can we check your temperature okay, lift under your tongue",,,,
,,,,,,
80,0:10:47,We have you covered with sheets don’t worry,,,,
82,0:10:51,They'll give you more sheets okay,,,,
,,,,,,
220,0:17:06,"Sounds good, get him covered up with some blankets",,,,
221,0:17:10,"Cover me up, I just don't want to be bothered for a little bit",,,,
,,,,,,
,,,,,,
170211,,,,,,
26,0:03:45,Can you guys fully um undress her? Take off the hat and the,,,,
,,,,,,
,,,,,,
170210,,,,,,
41,0:05:12,"Hi, how are you? I'm Dr. --. I'm just gonna check her out, guys can we fully undress her please",,,,
,,,,,,
61,0:06:14,"I know want me to get you a blanket? Yea, you're a little cold, let me get you a blanket and get you to take off your pants.",,,,
66,0:06:49,Okay let's take off the pants. Can you lay back a little bit? Can you take off the pants? Can you lay back so we can take off the pants?,,,,
68,0:06:54,Could you grab a gown for her?,,,,
69,0:06:54,Thank you,,,,
70,0:06:55,Let's take off all her clothes please,,,,
71,0:06:59,Can we get a warm blanket for her please,,,,
72,0:07:03,"Lift up, lift up. There we go.",,,,
73,0:07:06,There you go.,,,,
,,,,,,
,,,,,,
170209,,,,,,
53,0:12:46,Okay primary survey did we remove all his clothing and,,,,
54,0:12:50,You want us to take his sweats off,,,,
57,0:12:57,Just cover him with a blanket,,,,
61,0:13:02,Do you have a blanket for him,,,,
65,0:13:19,We got a temperature there,,,,
66,0:13:21,"Yes sir, 37.1 sir",,,,
,,,,,,
,,,,,,
170203,,,,,,
34,0:13:47,"We're gonna take all his, all his clothes off, to make sure we didn't miss anything",,,,
,,,,,,
86,0:17:10,"Can we give him one more warm blanket, it''s coming off here",,,,
87,0:17:11,Sure,,,,
88,0:17:15,"Yeah, they're giving you another blanket bud",,,,
,,,,,,
,,,,,,
170121,,,,,,
56,0:25:59,Can you get her exposed,,,,
,,,,,,
,,,,,,
170114,,,,,,
90,0:03:12,Alright take off the underwear please,,,,
91,0:03:15,And a warm blanket for him,,,,
,,,,,,
,,,,,,
161227,,,,,,
30,0:02:57,"Exposure is, complete, we are notary gunshot and",,,,
,,,,,,
129,0:08:31,"Um surgery somebody cover the patient, because, I mean, normally the patient will be covered up in a sense so nobody can look on",,,,
,,,,,,
,,,,,,
170105,,,,,,
18,0:01:26,Turn the temp. turn it down to 6,,,,
,,,,,,
142,0:06:40,And get rid of her wet clothes,,,,
,,,,,,
,,,,,,
161220,,,,,,
53,0:09:39,"We're just gonna give you a quick exam, we'll get you a warm blanket.",,,,
,,,,,,
,,,,,,
161219,,,,,,
45,0:03:00,"Once we have that in place, and we have his shirt off, we'll get vital signs",,,,
,,,,,,
,,,,,,
161218,,,,,,
10,0:06:14,"No baby's in fully, full",,,,
11,0:06:16,All of his clothes so,,,,
,,,,,,
,,,,,,
161217,,,,,,
31,0:46:47,"As part of primary let's expose him, roll him, take a look, see if we can do a rectal, that's not all part of primary but",,,,
38,0:47:07,Get him completely exposed,,,,
,,,,,,
44,0:48:12,"Start from head to toe, but can we put a warm blanket on him in the meantime okay",,,,
45,0:48:18,Did you get a warm blanket,,,,
,,,,,,
,,,,,,
161213,,,,,,
58,0:02:24,I'm gonna be taking off your clothes okay,,,,
59,0:02:30,"Alright, you're doing a good job",,,,
63,0:02:42,Trauma shears,,,,
65,0:02:44,Can I have some trauma shears,,,,
68,0:02:47,Here can you grab those trauma shears for her,,,,
70,0:02:55,Okay we're gonna have to cut your t-shirt here to get it off okay,,,,
,,,,,,
102,0:04:41,Cutting your clothes,,,,
,,,,,,
,,,,,,
161207,,,,,,
71,0:13:43,"Okay, let's get her exposed completely, it looks like she mostly is",,,,
72,0:13:56,Let me know when I can move her,,,,
