,Time,Speech,Communication Code,Common words,General Observation,
,,,,"Before - roll, on count, one two, three, x-ray, tray, board, FAST","X-Ray plates are put under the patient mostly when the patient is rolled for back exam. Once the x-ray has been completed, they discuss about the x-ray and any wounds, abrasions found. FAST exam is done sometimes and the result is mentioned (negative or positive)",
,,,,,,
,,,,"After - x-ray, FAST, negative, positive",,
160746,,,,,,
,0:24:00,"Tell them C T head temporal cuts, yeah exactly. And ahh noes you want to do maxwell face as well or?",Before,,,
,0:25:38,You want to do the lateral C spine here or yeah?,Before,,,
,0:25:56,"C spine chest, or the x ray?",Before,,,
,0:26:00,C T of the max and face.,Before,,,
,0:26:03,Yeah well the head C T is going to have what’s called temporal cuts so they cut closer around the bones where they keep the blood in the temporal ahh cause if you do two wide you might miss a fracture so they have to be very fine cuts.,Before,,,
,0:26:15,And what is it called? Ahh a temporal bone C T.,Before,,,
,0:28:59,Alright are you ready to do the X ray?,Before,,,
,,,,,,
160819,,,,,,
,0:26:30,"So he's gonna get a X-ray on that arm? Yes, no?",Before,,,
,0:26:32,"Um I don’t think so, I don’t think he needs an x-ray. So what we're gonna do…",Before,,,
,0:26:39,Uh No I would leave him in for now just because of distracting injury and we're giving him the morphine. I'll leave it in the collar. I would scan his head just based on the mechanism,Before,,,
,0:26:53,"Yeah Um I wanna get a chest x-ray just to make sure there's no other fracture there. Just purely based on mechanism, but um we can get a film of his right thigh to make sure he doesn't have any femur fracture there. Um and then we'll do a basic set of trauma labs and uh wound pair and we'll talk to",Before,,,
,0:27:32,No arm just to make sure he didn't?,Before,,,
,0:27:34,It's not because he has full function of his arm,Before,,,
,0:27:39,Yeah we'll get him off the board,Before,,,
,0:27:45,"Right femur, chest x-ray, and basic trauma labs",Before,,,
,0:28:01,"Then what we're gonna do after log rolling is replace the collar, though we're not gonna get a film of the C-spine",Before,,,
,0:28:08,"Oh we can do yeah, no we'll do lateral C-spine and then we'll take him to, we'll go to CT first and then we can do lateral spine, chest x-ray",Before,,,
,0:28:18,"Right thigh, we'll do right arm as well and then uh and then basically plus or minus OR for wash up",Before,,,
,0:28:28,"Okay so to repeat basic trauma labs, chest x-ray, right thigh x-ray, C-spine x-ray, CT scan head, right arm x-ray. Thank you",Before,,,
,0:34:01,Okay we ready for x-rays?,Before,,,
,0:34:38,Who's gonna do the arms? For the c-spine x-ray,Before,,,
,0:37:03,Is x-ray ready?,Before,,,
,0:40:07,"So I just spoke to. I just spoke to ortho um we're gonna do the joint and the forearm x-ray. That's what they're requesting, but they say if it's purely soft tissues and there's no fracture joint involvement. Which I don't think is the case, I think it's purely soft tissues, then to call plastics.",Before,,,
,0:40:30,"He doesn’t think that, if it's nothing that's causable at the bedside. He said it'll be something like specialty specific either ortho or plastics, regarding the location. High [realstate?] muscle, soft tissue, bone exposure. So we'll call plastics, after ortho is done. I can even call them now and tell them that's gonna be the plan",Before,,,
,0:42:01,"Yeah so this this, CT, x-rays…",Before,,,
,0:42:26,Six point six on the calcium okay,Before,,,
,0:45:12,X ray,Before,,,
,0:46:03,We have to put the plate under him for his chest,Before,,,
,0:46:43,You're gonna roll him towards me and put the plates on that side?,Before,,,
,0:48:28,Seventy-two,Before,,,
,0:49:32,"They said it was forearm elbow. So make sure its forearm, elbow ",Before,,,
,0:50:05,They want to do the elbow and the forearm and then the femur for x-ray and the CT head,Before,,,
,0:50:55,It's over seventy-three and yep,Before,,,
,0:51:50,So we're gonna have additional x-rays on his arms and legs. We're gonna do that,Before,,,
,,,,,,
160814,,,,,,
,0:27:34,So you want basic trauma labs?,,,,
,0:27:36,Yeah we’ll get a basic set.,,,,
,0:27:37,"Ok as far as um, umm, x-rays concerned what do you want?",,,,
,0:27:41,Ahh so I’m going to want left clavicle upper arm elbow.,,,,
,0:27:46,Left clavicle you want elbow?,,,,
,0:34:02,X-rays first.,,,,
,0:34:03,"Oh we're doing x-ray now ok nevermind, we’ll do x-rays then let you come up.",,,,
,0:34:28,Just gonna pull the arms.,,,,
,0:34:35,I want to ask him how to put it in.,,,,
,0:34:48,K putting in the clavicle the only thing I’m getting when I type it in is clavicle H [...].,,,,
,0:35:05,Could you put that one in put it under her?,,,,
,0:35:08,Yeah clavicle [...].,,,,
,0:36:24,"Umm, it's going to 38. Ok.",,,,
,0:36:27,I think 1 90.,,,,
,0:36:58,Do do the whole x-rays here or no?,,,,
,0:41:39,Forearm?,,,,
,0:42:17,Only other injury is a contusion to the back of the head but we’re not going to C T we’re just gonna monitor it. Umm and it looked like ahh.,,,,
,,,,,,
,,,,,,
,,,,,,
