,Time,Speech,Observation by Code,Common words,General Observation,
,,,,"Before - tetanus, allergies, IV access, antibiotics, Etomidate, succs, Succinylcholine, morphine
During - morphine, ancef, vec
After - Ancef, Succinylcholine, Etomidate, morphine",Patient's medical history and allergies are asked first. They are also asked about their tetanus shots. Antibiotics or any other allergy medications are requested and mentioned aloud before administering it to the patient,
160746,,,,,,
,0:19:43,Actually you want a [loner]?,Before,,,
,0:19:46,8 milagrams.,Before,,,
,0:20:54,Ok if we give him a little fluid?,Before,,,
,0:20:56,Absolutly 1 liter.,Before,,,
,0:20:58,Give L R and S whatever.,Before,,,
,0:21:01,Did you guys here that 1 liter L R?,Before,,,
,0:21:23,We’re going to give you some medicine for that ok?,Before,,,
,0:22:17,Pushing 8 milligrams.,During,,,
,0:22:18,Alright make sure someone is still stabilizing. Ok 8 milligrams of Zofran.,During,,,
,0:22:23,Left the I V.,During,,,
,0:22:48,Open your mouth.,During,,,
,0:24:54,Would you like me to prepare any medication for the travel and what we may expect?,After,,,
,0:24:58,Ahh So 4 milligrams of zofran umm in terms of I would like to keep him off narcotic now if he’s ok without it.,After,,,
,0:25:06,Umm yeah [minimum of 1] ahh we probably don’t need any fluid cause he’s got a relatively decent blood pressure at this point so.,After,,,
,0:25:17,No keep him off it? Or keep him on fluid.,After,,,
,0:25:21,"Yeah, I just mean he doesn’t need more.",After,,,
,0:25:23,No additional fluids yeah. Are you sure you want another food to travel with?,After,,,
,0:32:08,L R? 1 liter yup.,After,,,
,0:32:35,Do we have any tylenol or ibuprofen? They don’t want like any narcotics.,After,,,
,0:32:40,"Tylenol or ibuprofen here, I don’t think so right? They don’t want for the pain like back of head he said 6 out of 10. They don’t want any [corn] yeah they didn’t want any narcotics.He said tylenol or ibuprofen anything a little.",After,,,
,,,,,,
160819,,,,,,
,0:27:28,"We can do maintenance fluids, is there anything else?",,,,
,0:27:49,"Alright so we're giving morphine now, we're gonna log roll him in a second. We'll take care of that right elbow when we do so, right thigh as well",,,,
,0:27:58,How much morphine?,,,,
,0:27:59,Two of morphine,,,,
,0:31:34,Maintenace fluids …,,,,
,0:34:01,Where you push him on?,,,,
,0:34:09,One gram,,,,
,0:34:12,"Two of morphine, gram of […], and half […]",,,,
,0:34:22,You said one gram right?,,,,
,,,,,,
160814,,,,,,
,0:22:27,I’m gonna let anesthesia go since we don’t need them.,,,,
,0:26:41,He has no medical problems no allergies and is up to date on his umm immunizations his lack of P O was breastfed about 10 30.,,,,
,0:27:55,[...] Order morphine.,,,,
,0:29:20,Want to give him atex fluids once we get the I V?,,,,
,0:30:43,More pain control and you’ll be fine.,,,,
,0:31:50,So as we get the labs and give him some pain medicine that’s about it.,,,,
,0:33:08,Morphine point 9.,,,,
,0:33:17,Shaun gave me point 9 milligrams of morphine for [...].,,,,
,0:34:17,Lizz gave him some pain medicine he’s gonna start feeling a lot better.,,,,
,0:42:52,Do you have any further need medication miss?,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
160116,,,,,,
21,,Anything we can give him for pain?,,,,
22,,"Yeah, he already got morphine and fentanyl.",,,,
23,,Just fentanyl that I'm aware of.,,,,
24,,You can release this and may release that.,,,,
25,,Can we get like three morphines?,,,,
26,,He already got them.,,,,
40,,"We're going to get morphine, yeah.",,,,
52,,"You're going to have to take your medicine right now baby, okay?",,,,
56,,He's getting three milligrams of morphine right now.,,,,
88,,Three milligrams.,,,,
89,,He said two milligrams of vallium.,,,,
90,,"Oh two milligrams, sorry I didn't hear that.",,,,
95,,He said two.,,,,
96,,We should double check that dose.,,,,
107,,Two milligrams of valium,,,,
108,,Still good?,,,,
109,,Yeah.,,,,
110,,How much of valium was it?,,,,
111,,Two milligrams,,,,
112,,Right.,,,,
131,,Morphine’s not helping? Do you need more?,,,,
132,,He’s only got two right?,,,,
133,,"No, we got three morphine.",,,,
134,,"We got 2 vallium, and fentanyl and morphine in transport",,,,
135,,How much?,,,,
136,,"Oh no, we don’t know how much.",,,,
137,,Two more morphine.,,,,
143,,Got anymore morphine?,,,,
